1 0.2331295882619204 2.558000000001 0.01463655166260229 0.008457143169665782 0.974638615565239 0.08 0.08103416844425307 0.4005626578793922 0.0007630054241200084 1.8914036499568917e-09 9.831165407129053e-37
2 0.23612958826192038 3.560000000001 0.039666819746634885 0.016468833452598423 0.9506789261165094 0.08 0.08204895488822919 0.40274532129553164 0.004026940358254402 1.829229926236339e-09 9.670437841919126e-37
3 0.23912958826192038 4.292000000001001 0.0698847489994834 0.024066234785484586 0.9279780900027838 0.08 0.08304646021928533 0.4048404221061385 0.010365804653778229 1.7705202052744546e-09 9.517288397987674e-37
4 0.24212958826192038 4.880000000001001 0.10327037975318581 0.031278174982462714 0.9064657339484969 0.08 0.08402611636419059 0.4068511926650423 0.019900698789564967 1.7150156330708885e-09 9.37122547449401e-37
5 0.24512958826192038 5.375000000001 0.13871915741125662 0.03814551006924688 0.8860156688534775 0.08 0.08499028505370507 0.40879129641344775 0.03258459556392248 1.6624259028083828e-09 9.231490864975048e-37
10 0.2601295882619204 7.0810000000010005 0.325451175716965 0.0679323601368021 0.7975715291480656 0.08 0.0895787846053008 0.4174272451329314 0.1354793611885348 1.4369680037029034e-09 8.617548444796429e-37
15 0.2751295882619204 8.132000000001 0.5052560369578382 0.09183317384714446 0.7269700488225277 0.08 0.09382784199859882 0.4246300980350689 0.2821852701195033 1.259804848576781e-09 8.11446284569633e-37
20 0.29012958826192037 8.852000000001 0.6672534717813611 0.11141274890396881 0.6693254647928895 0.08 0.0977847912269881 0.4306893234822962 0.44787319776126117 1.1175187713686232e-09 7.694182945017956e-37
25 0.3051295882619204 9.372000000001 0.809939262035892 0.12773373901101648 0.6214023296172895 0.08 0.10148539547650012 0.43582769195983595 0.6166647844711188 1.0011243892620017e-09 7.3373117325321055e-37
30 0.3201295882619204 9.759000000001 0.9344332953353682 0.14152346057527487 0.580915674660591 0.08 0.10496232435957405 0.4401998239292275 0.7791590512090307 9.044655314806555e-10 7.030485434743204e-37
35 0.3351295882619204 10.054000000001 1.0430317836821306 0.15333599462640973 0.5462865229605264 0.08 0.1082379962350281 0.4439571660159734 0.9309657201374757 8.230581477728024e-10 6.763146601639252e-37
40 0.35012958826192037 10.282000000001 1.137781330658537 0.16355606628214875 0.5168246564047522 0.08 0.11128032226777453 0.4472026837253936 1.069881599908383 7.537117364542542e-10 6.527977460634541e-37
45 0.3651295882619204 10.459000000001 1.2204228966839568 0.17246685219976488 0.4907130558275277 0.08 0.11420264973383003 0.4499902487515224 1.1948436796467587 6.940855497749774e-10 6.31973086793372e-37
50 0.3801295882619204 10.597000000001 1.2926642458555206 0.18029689820548253 0.46767221441141704 0.08 0.11698204332689797 0.4523917742809185 1.3061216249607597 6.423557440194962e-10 6.133938385339131e-37
55 0.3951295882619204 10.706000000001 1.3563058095297384 0.18724741714483684 0.44725335372794167 0.08 0.11962258526632834 0.45449018985537 1.4052510822820456 5.970484482113952e-10 5.966389669536845e-37
60 0.41012958826192036 10.790000000001001 1.4120175315159362 0.19342121058737644 0.42896204584949915 0.08 0.1221463666486326 0.4562839842629715 1.4918855872264611 5.571877350100441e-10 5.815453827097114e-37
65 0.4251295882619204 10.856000000001 1.4613853104151853 0.19896668116641347 0.4125499342371645 0.08 0.12455229259855892 0.4578547500194492 1.568373320532378 5.217966918057451e-10 5.677755950843556e-37
70 0.4401295882619204 10.906000000001 1.5048820369386788 0.2039493933313358 0.3976887825455882 0.08 0.12685813326388937 0.4592003250843868 1.6347560252475093 4.902596727715958e-10 5.552277501052822e-37
75 0.4551295882619204 10.944000000001001 1.5435393262936863 0.20846208031675761 0.38415411659007365 0.08 0.12907354594227585 0.4603689203632017 1.6927513903894034 4.619616804347319e-10 5.436914152649768e-37
80 0.4701295882619204 10.971000000001 1.5776754762589422 0.21254794610708805 0.37182577193212807 0.08 0.13119589388279387 0.4613600105525798 1.7424782594028256 4.364963485010094e-10 5.3310173705055215e-37
85 0.4851295882619204 10.990000000001 1.608133724234678 0.2162767924871061 0.3604970365827131 0.08 0.13324138472290423 0.46221451641911715 1.7855764127554767 4.134332232055124e-10 5.232912013606991e-37
90 0.5001295882619204 11.002000000001 1.6352606540606154 0.21968519987055957 0.35010991803628455 0.08 0.13520345199753078 0.4629419435129868 1.8225276005358029 3.9247588931711744e-10 5.141914503646354e-37
95 0.5151295882619203 11.008000000001001 1.6594117278821507 0.22280820873450136 0.3404778359863276 0.08 0.13710255997385357 0.46355094967055827 1.8538977910983412 3.733663137031846e-10 5.0573347094892936e-37
100 0.5301295882619204 11.009000000001 1.6809339475798004 0.2256774829272189 0.33159387739032675 0.08 0.1389270248986066 0.4640570447980963 1.8803343358041396 3.55879699094463e-10 4.978489165734767e-37
105 0.5451295882619204 11.006000000001 1.7001763769218468 0.22832313662587633 0.3232932145000383 0.08 0.14069922079318833 0.4644719257518624 1.9025223981116597 3.398195342091087e-10 4.904703415443258e-37
110 0.5601295882619204 10.999000000001 1.7172296850550943 0.23076005733470203 0.31557643865864704 0.08 0.14240908682657938 0.4647952134907696 1.9204975318187767 3.250459417923832e-10 4.8357965481598645e-37
115 0.5751295882619204 10.990000000001 1.7326743629546206 0.2330261768639951 0.30836611462954117 0.08 0.14406439594971157 0.46506070443740744 1.9357055461713248 3.1137315991617294e-10 4.770636212791444e-37
120 0.5901295882619204 10.978000000001 1.7463448646218327 0.235121442689311 0.3016322593112383 0.08 0.14566361822152418 0.46525019820200414 1.947512913490707 2.9872845182742187e-10 4.709542011489022e-37
