1.0 0.12261259441501977 4.837000000000001 0.05179590043734356 0.01582722414568124 0.9075669966179857 0.4050776847762476 0.00976344751968322 3.528214095437051e-15 9.682380178017326e-49
2.0 0.12382600561096263 6.696000000000001 0.137949122482142 0.03045011590810915 0.8266329313242652 0.40993360472764284 0.050429036270274855 3.3603859954137537e-15 9.386940282505754e-49
3.0 0.1250424660951002 8.034 0.23919716435095673 0.0440057728160788 0.7553962608802086 0.4145825939623336 0.12730576209358063 3.2052346505011536e-15 9.111257863063828e-49
4.0 0.12626196030726533 9.093 0.34814103354386045 0.056589189801669805 0.6924969547815363 0.4190352953794848 0.23990401513297613 3.061558716845658e-15 8.853697540330322e-49
5.0 0.12748447281917807 9.971 0.46079377939284694 0.06830513345796359 0.6366996348512786 0.42330434218531676 0.3857039428294786 2.928154941707806e-15 8.612386554962357e-49
10.0 0.13364177892275317 12.9 1.0164960475295761 0.11646661060856556 0.4347405771790129 0.4422395466568948 1.4878529348330791 2.384271044180535e-15 7.603278147712458e-49
15.0 0.13987230144954874 14.61 1.502986439782103 0.15205135660434219 0.31292768841587904 0.4578833562261459 2.9216464905063573 1.9884031107753966e-15 6.83663926469576e-49
20.0 0.14617425129726275 15.734 1.9090793587715014 0.17933716046397816 0.23461807726423878 0.4709932519051483 4.427252312668871 1.6897233813272726e-15 6.233670222590937e-49
25.0 0.1525459110615293 16.517 2.244244981741289 0.20082813114975112 0.18178441577902965 0.4821021692437845 5.870688008356666 1.4581083630096044e-15 5.7473143899934945e-49
30.0 0.15898563107666652 17.084 2.52172342342392 0.21816915151304914 0.1446336326378592 0.49161222680960726 7.196421104568476 1.274205819235581e-15 5.346047932142073e-49
35.0 0.16549182573316873 17.504 2.7523470661220713 0.23240814538067872 0.11765862150674103 0.49981838631472675 8.383152161470615 1.1254533520765055e-15 5.0094338788951966e-49
40.0 0.1720629700486604 17.821 2.9455952646299437 0.24430168121572748 0.0974967331406609 0.5069533878606162 9.43240756662368 1.0030981961989428e-15 4.722508714257417e-49
45.0 0.17869759647131253 18.062 3.1082103854821233 0.25434899278219647 0.08209000921504407 0.5131918414132272 10.349971203937745 9.011305624779608e-16 4.475210995400378e-49
50.0 0.18539429189674325 18.246 3.245792968308671 0.2629290652415064 0.07007781881056209 0.5186749410566411 11.147275567862847 8.151366804446729e-16 4.259816022520866e-49
55.0 0.1921516948812325 18.387 3.3630539351353392 0.27033881713452973 0.0605346366944736 0.5235185954712571 11.83872716555603 7.418070559863414e-16 4.070230758701263e-49
60.0 0.19896849303568773 18.495 3.4636662437436563 0.2768006810347263 0.052828650758361566 0.5278161238283501 12.437831709908917 6.786687634981191e-16 3.9018383166217105e-49
65.0 0.205843420586234 18.576 3.5498997739117315 0.2824550488309141 0.046538268409087744 0.5316383817045321 12.952516035827104 6.239270394509911e-16 3.7516004235652526e-49
70.0 0.21277525608859219 18.637 3.624770665679461 0.2874683142552023 0.04131793235056282 0.5350541008793817 13.398233952219552 5.76015229821646e-16 3.61609515057033e-49
75.0 0.2197628202845551 18.68 3.6891017932217465 0.29189672332435684 0.03696575345032626 0.5381071850083378 13.777184948155151 5.339219695544099e-16 3.49393622446029e-49
80.0 0.22680497408991443 18.71 3.7452411936663306 0.29586354520489566 0.03328071790164776 0.5408482919127893 14.103280507715485 4.966205246905035e-16 3.3826069720738997e-49
85.0 0.2339006167041161 18.729 3.794172693266337 0.2994249304353485 0.03013828406387683 0.5433124951013678 14.381801205563704 4.634084396123341e-16 3.2808303733407243e-49
90.0 0.24104868383276296 18.739 3.836914448104177 0.30263639674421133 0.027436944419948494 0.545531366121175 14.618808570931009 4.33688197744305e-16 3.187380769204402e-49
95.0 0.24824814601483888 18.741 3.874024825073538 0.3055308664099903 0.025103638111737214 0.5475299961034464 14.81743914816801 4.0699890773341783e-16 3.101458131791124e-49
100.0 0.25549800704721126 18.736 3.90607287661167 0.30814059507712 0.023077719126716252 0.5493310169170804 14.98116314328718 3.829447220579788e-16 3.0223011577590076e-49
105.0 0.2627973024995846 18.727 3.9345920491434994 0.3105395736549332 0.021291744262172643 0.5509608403569298 15.120779430091908 3.6109683264412303e-16 2.9484698938029285e-49
110.0 0.2701450983136379 18.713 3.9591953747310638 0.3127151837588341 0.019722875619284423 0.5524313002502172 15.233137453409771 3.412570054604875e-16 2.8800196398352148e-49
115.0 0.2775404894805892 18.696 3.980932344562639 0.3147179765846438 0.018328217840757683 0.5537616346159528 15.325772499829506 3.2312977207844e-16 2.8159563131640713e-49
120.0 0.2849825987918804 18.676 3.9998895886190167 0.3165553013406767 0.01708646981283911 0.5549636359678811 15.399179300256112 3.065372525374233e-16 2.756031026375273e-49
125.0 0.2924705756581073 18.653 4.016150995371864 0.31823415948222483 0.015979223889315084 0.5560480657505575 15.453863160489124 2.9132329125996713e-16 2.700011149025851e-49
130.0 0.3000035949916891 18.628 4.03027219484639 0.31978169632758585 0.014984290462524861 0.5570270899219323 15.493890006653665 2.773152421731586e-16 2.6473435611378284e-49
135.0 0.30758085614912284 18.601 4.042327302802942 0.3212037708089136 0.014088871236896063 0.5579093361368251 15.519760122414453 2.643961020382972e-16 2.5978385168792747e-49
140.0 0.31520158192898695 18.573 4.052858823006963 0.3225261036240862 0.013276198862620327 0.558704750387554 15.535501318936412 2.524299223579146e-16 2.5509918744657697e-49
145.0 0.32286501762214226 18.544 4.061929773034502 0.3237534796652007 0.01253739099689489 0.559420187731727 15.541563148969898 2.4132863731932405e-16 2.5066512430417405e-49
