1.59 1.45 0.47 0.54  0.53 0.61
1.81 1.64 0.48 0.36  0.54 0.54
1.76 1.60 0.43 0.44  0.52 0.56
1.60 1.45 0.42 0.36  0.50 0.56
1.59 1.47 0.62 0.61  0.57 0.63
1.73 1.57 0.56 0.43  0.59 0.57
